Timestamp,Offset,Length,MeterID,MeterType,TamperPhy,TamperEnc,Consumption,ChecksumVal
2016-11-16T18:53:52.741508203-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:53:53.417217763-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:53:54.321628249-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:53:55.140736495-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:53:56.259593846-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:53:56.641889284-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:53:56.982901946-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:53:57.691745205-05:00,0,0,10696912,12,0x3,0x0,28370,0xd036
2016-11-16T18:53:58.972275051-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:53:59.541124118-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:53:59.933685329-05:00,0,0,14452472,4,0x0,0x0,38154,0xcea2
2016-11-16T18:54:00.372197962-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:01.195995688-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:01.248228916-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:01.352953912-05:00,0,0,27413601,5,0x0,0x0,7072469,0x15de
2016-11-16T18:54:02.199128528-05:00,0,0,14452472,4,0x0,0x0,38154,0xcea2
2016-11-16T18:54:02.87529251-05:00,0,0,35292950,5,0x2,0x2,3030234,0x8e59
2016-11-16T18:54:04.089705218-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:04.539845327-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:06.305922916-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:54:06.689527089-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:07.08091649-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:07.692964145-05:00,0,0,11936899,5,0x2,0x0,7606340,0x274
2016-11-16T18:54:08.473802707-05:00,0,0,14452472,4,0x0,0x0,38154,0xcea2
2016-11-16T18:54:09.912629096-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:10.307102317-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:54:11.207475713-05:00,0,0,11936899,5,0x2,0x0,7606340,0x274
2016-11-16T18:54:11.483289455-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:11.582836852-05:00,0,0,35292950,5,0x2,0x2,3030234,0x8e59
2016-11-16T18:54:12.362777559-05:00,0,0,14452472,4,0x0,0x0,38154,0xcea2
2016-11-16T18:54:13.365062492-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:54:13.525258806-05:00,0,0,47495895,11,0x0,0x0,2826,0xa5c0
2016-11-16T18:54:13.632522732-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:14.197579861-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:16.749755173-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:17.312663523-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:17.913246877-05:00,0,0,27413601,5,0x0,0x0,7072469,0x15de
2016-11-16T18:54:18.14498527-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:54:18.541968203-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:19.186246285-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:20.416383456-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:21.909437636-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:21.968938441-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:22.025363029-05:00,0,0,47495895,11,0x0,0x0,2826,0xa5c0
2016-11-16T18:54:23.914293175-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:24.137963063-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:25.408369635-05:00,0,0,14452472,4,0x0,0x0,38156,0xcea2
2016-11-16T18:54:25.486421018-05:00,0,0,11936899,5,0x2,0x0,7606340,0x274
2016-11-16T18:54:26.852977159-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:27.075148522-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:27.248227507-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:54:27.413909073-05:00,0,0,11936899,5,0x2,0x0,7606340,0x274
2016-11-16T18:54:29.134084926-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:29.263372829-05:00,0,0,20944320,7,0x2,0x1,7788,0x2b20
2016-11-16T18:54:29.758449737-05:00,0,0,35292950,5,0x2,0x2,3030235,0x6cbb
2016-11-16T18:54:29.819545525-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:31.201812691-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:31.875202537-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:31.980828149-05:00,0,0,14452472,4,0x0,0x0,38156,0xcea2
2016-11-16T18:54:34.311256259-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:34.429560064-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:36.191278117-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:36.321090129-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:54:36.416057055-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:37.644968354-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:37.820374813-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:39.799261107-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:39.822958138-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:40.032337818-05:00,0,0,47495895,11,0x0,0x0,2826,0xa5c0
2016-11-16T18:54:41.364124498-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:54:42.477652793-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:43.697455337-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:44.475158308-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:45.021094814-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:47.080161008-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:47.144165149-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:47.593371936-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:48.798419278-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:49.86800493-05:00,0,0,11936899,5,0x2,0x0,7606341,0xe096
2016-11-16T18:54:50.031785371-05:00,0,0,47495895,11,0x0,0x0,2826,0xa5c0
2016-11-16T18:54:51.02323886-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:52.188875437-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:52.596260912-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:52.862044192-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:53.32011885-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:54:54.471377824-05:00,0,0,11936899,5,0x2,0x0,7606341,0xe096
2016-11-16T18:54:54.584811891-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:54.800724624-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:55.482578857-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:54:56.14837264-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:54:56.470450875-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:54:57.133271253-05:00,0,0,11936899,5,0x2,0x0,7606341,0xe096
2016-11-16T18:54:57.421883137-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:54:58.468064619-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:54:59.870493231-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:00.982161858-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:55:01.870216379-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:02.190371561-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:02.423960455-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:55:02.692731775-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:05.096418716-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:05.188730463-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:06.198430992-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:07.025355037-05:00,0,0,47495895,11,0x0,0x0,2826,0xa5c0
2016-11-16T18:55:07.536828588-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:07.799055605-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:10.470362525-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:11.647105594-05:00,0,0,11936899,5,0x2,0x0,7606341,0xe096
2016-11-16T18:55:12.371706857-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:13.25130147-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:14.58305091-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:15.543516094-05:00,0,0,27413601,5,0x0,0x0,7072471,0xbf79
2016-11-16T18:55:16.364347081-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:55:17.308309894-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:17.691881203-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:18.868566409-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:19.202737063-05:00,0,0,43475881,5,0x3,0x0,3267993,0x9dfe
2016-11-16T18:55:19.583899857-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:21.641762679-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:22.368469283-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:22.589160037-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:23.097843566-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:23.482868141-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:55:24.818453477-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:24.820354862-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:24.917154476-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:25.356966382-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:26.920171467-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:27.63154397-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
2016-11-16T18:55:27.811574343-05:00,0,0,34000195,4,0x0,0x1,23629,0xa298
2016-11-16T18:55:28.089613793-05:00,0,0,11936899,5,0x2,0x0,7606341,0xe096
2016-11-16T18:55:30.133364368-05:00,0,0,14452472,4,0x0,0x0,38155,0xcea2
2016-11-16T18:55:30.629882504-05:00,0,0,37932498,13,0x1,0x0,68538,0xafa2
2016-11-16T18:55:31.874547233-05:00,0,0,23862994,4,0x0,0x0,19158,0x39c5
